Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Company,Company response,Timely response?,Consumer disputed?,Delivery Time
1291006,Debt collection,,Communication tactics,Frequent or repeated calls,TX,76119,"Premium Asset Services, LLC",In progress,Yes,,0
1290580,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,TX,77479,Accounts Receivable Consultants Inc.,Closed with explanation,Yes,,0
1290564,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,MA,2127,RBS Citizens,Closed with explanation,Yes,Yes,0
1291615,Credit card,,Other,,CA,92592,Navy FCU,In progress,Yes,,0
1292165,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Debt resulted from identity theft,,43068,Transworld Systems Inc.,In progress,Yes,,0
1291176,Debt collection,Payday loan,Communication tactics,Called after sent written cease of comm,OH,43068,ACE Cash Express Inc.,In progress,Yes,,0
1288848,Consumer loan,Installment loan,Managing the loan or lease,,OH,44241,"CashCall, Inc.",Closed with explanation,Yes,Yes,0
1288788,Debt collection,Payday loan,Communication tactics,Called after sent written cease of comm,CA,95124,ACE Cash Express Inc.,Closed with explanation,Yes,,0
1288324,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,NJ,7067,"Credit Protection Association, L.P.",Closed with non-monetary relief,Yes,,0
1288304,Debt collection,Payday loan,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,TX,77433,Cottonwood Financial Ltd.,Closed with explanation,Yes,Yes,0
1289772,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Impersonated an attorney or official,ND,58237,Niagara Portfolio Solutions LLC,Closed with explanation,Yes,,0
1288903,Bank account or service,Other bank product/service,Deposits and withdrawals,,RI,2893,Santander Bank US,In progress,Yes,,0
1289633,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CO,80301,"FAIR COLLECTIONS & OUTSOURCING, INC.",Closed with explanation,Yes,,0
1289273,Payday loan,,Can't contact lender,,TX,78205,ACE Cash Express Inc.,In progress,Yes,,0
1289900,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,UT,84405,Account Liquidation Services Inc.,Closed with non-monetary relief,Yes,Yes,0
1290486,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,AL,36756,"Expert Global Solutions, Inc.",In progress,Yes,,1
1289049,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,PA,19140,"Mercantile Adjustment Bureau, LLC",Closed with explanation,Yes,,0
1288962,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,TX,77099,"Amsher Collection Services, Inc.",Closed with explanation,Yes,,0
1289394,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Used obscene/profane/abusive language,CA,92069,"Recovery One, LLC",Closed with explanation,Yes,,0
1288148,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,NY,10470,"CMRE Financial Services, Inc.",Closed with explanation,Yes,,0
1288098,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,NC,28110,Flagstar Bank,In progress,Yes,,0
1288375,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Contacted employer after asked not to,GA,30058,Rent Recovery Solutions,Closed with explanation,Yes,,0
1289844,Debt collection,,Improper contact or sharing of info,Contacted me after I asked not to,IL,60411,"Municipal Collections Services, Inc.",Closed with explanation,Yes,Yes,0
1290474,Debt collection,Payday loan,Communication tactics,Threatened to take legal action,CA,92592,ACE Cash Express Inc.,Closed with explanation,Yes,,1
1286761,Consumer loan,Vehicle loan,Problems when you are unable to pay,,WI,53183,Ally Financial Inc.,In progress,Yes,,0
1286755,Bank account or service,Checking account,"Account opening, closing, or management",,IL,60628,JPMorgan Chase,Closed with explanation,Yes,,1
1286639,Credit reporting,,Incorrect information on credit report,Account terms,MI,48091,TransUnion,Closed with explanation,Yes,,0
1286559,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,FL,33990,"Expert Global Solutions, Inc.",In progress,Yes,,0
1286777,Bank account or service,Checking account,"Account opening, closing, or management",,FL,32713,Wells Fargo,Closed with explanation,Yes,,1
1287586,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,CA,95032,"Bayview Loan Servicing, LLC",In progress,Yes,,0
1287135,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,CT,6611,"CCS Financial Services, Inc.",Closed with explanation,Yes,Yes,0
1287567,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,OR,97233,"CMRE Financial Services, Inc.",In progress,Yes,,0
1287501,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,GA,30518,"Aldous & Associates, PLLC",Closed with explanation,Yes,,0
1288242,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,CA,91205,"Bayview Loan Servicing, LLC",In progress,Yes,,1
1288281,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,VA,22180,"Debt Recovery Solutions, LLC",Closed with explanation,Yes,,1
1289846,Credit reporting,,Incorrect information on credit report,Account status,WA,98502,TransUnion,Closed with explanation,Yes,,1
1289847,Credit reporting,,Incorrect information on credit report,Account status,WA,98502,TransUnion,Closed with explanation,Yes,,1
1289788,Consumer loan,Vehicle loan,Problems when you are unable to pay,,PA,19149,Ally Financial Inc.,In progress,Yes,,1
1288284,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,TN,38305,"Fenton & McGarvey Law Firm, P.S.C.",Closed with explanation,Yes,,1
1286791,Money transfers,Domestic (US) money transfer,Other transaction issues,,AL,35115,MoneyGram,In progress,Yes,,0
1287677,Credit reporting,,Credit reporting company's investigation,Investigation took too long,MI,48334,"Early Warning Services, LLC",Closed with explanation,Yes,,0
1288263,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,WI,53579,BMO Harris,Closed with explanation,Yes,,1
1287783,Credit card,,Delinquent account,,PA,19406,Amex,Closed with explanation,Yes,Yes,0
1287765,Consumer loan,Vehicle loan,Problems when you are unable to pay,,IL,61554,Navy FCU,In progress,Yes,,0
1288273,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,MD,21704,"Credit Protection Association, L.P.",Closed with explanation,Yes,,1
1286793,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,FL,33063,Stellar Recovery Inc.,Closed with explanation,Yes,,0
1288199,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,IA,51526,Synergetic Communication Inc,Closed with explanation,Yes,Yes,0
1287753,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,CA,94610,Niagara Portfolio Solutions LLC,Closed,Yes,,0
1285893,Credit card,,Other,,MI,48088,Amex,Closed with explanation,Yes,,0
1285956,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,FL,33462,Citibank,Closed with explanation,Yes,,0
1286966,Credit card,,Late fee,,GA,30075,Wells Fargo,Closed with monetary relief,Yes,,0
1287395,Consumer loan,Vehicle loan,Taking out the loan or lease,,KY,42223,Navy FCU,In progress,Yes,,0
1287443,Credit reporting,,Incorrect information on credit report,Personal information,MI,48473,TransUnion,Closed with non-monetary relief,Yes,,0
1286928,Consumer loan,Vehicle loan,Taking out the loan or lease,,NY,11415,Ally Financial Inc.,In progress,Yes,,0
