Complaint ID,Product,Issue,Company,Company response,Timely response?,Consumer disputed?,Day received,Response time
1177839,Credit reporting,Unable to get credit report/credit score,Experian,Closed with non-monetary relief,1,0,1,0
1177844,Money transfers,Fraud or scam,PayPal,Closed with explanation,1,1,1,0
1177846,Credit reporting,Credit monitoring or identity protection,TransUnion,Closed with non-monetary relief,1,0,1,0
1177928,Consumer loan,Taking out the loan or lease,Santander Consumer USA,Closed with explanation,1,0,1,0
1177930,Mortgage,"Application, originator, mortgage broker",Wells Fargo,Closed with explanation,1,1,1,0
1177932,Credit card,Billing disputes,Bank of America,Closed with explanation,1,0,1,0
1177933,Bank account or service,Problems caused by my funds being low,TD Bank,Closed with monetary relief,1,0,1,0
1177937,Credit card,Billing disputes,Capital One,Closed with monetary relief,1,0,1,0
1177938,Debt collection,Cont'd attempts collect debt not owed,"United Accounts, Inc.",Untimely response,0,0,1,0
1177940,Credit card,Late fee,GE Capital Retail,Closed with explanation,1,0,1,6
1177941,Bank account or service,"Making/receiving payments, sending money",BB&T Financial,Closed with explanation,1,0,1,0
1177943,Bank account or service,"Making/receiving payments, sending money",PayPal,Closed with monetary relief,1,0,1,6
1177944,Debt collection,False statements or representation,"Landlord Rent Collections, LLC",Closed with explanation,1,0,1,6
1177946,Mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,Closed with explanation,1,0,1,0
1177947,Bank account or service,Problems caused by my funds being low,RBS Citizens,Closed with monetary relief,1,0,1,0
1177948,Credit reporting,Incorrect information on credit report,Experian,Closed with non-monetary relief,1,0,1,0
1177949,Debt collection,Cont'd attempts collect debt not owed,GC Services Limited Partnership,Closed with explanation,1,1,1,6
1177950,Debt collection,Cont'd attempts collect debt not owed,Gila LLC,Closed with explanation,1,0,1,4
1177951,Debt collection,Cont'd attempts collect debt not owed,"Collection Service Center, Inc.",Closed with explanation,1,0,1,6
1177952,Credit reporting,Incorrect information on credit report,Experian,Closed with non-monetary relief,1,0,1,0
1177955,Debt collection,Improper contact or sharing of info,GE Capital Retail,Closed with non-monetary relief,1,0,1,0
1177961,Debt collection,Cont'd attempts collect debt not owed,Allied International Credit Corporation,Closed with non-monetary relief,1,0,1,0
1177963,Credit reporting,Incorrect information on credit report,Experian,Closed with explanation,1,0,1,0
1177964,Credit card,Other,"Continental Finance Company, LLC",Closed with explanation,0,0,1,6
1177965,Mortgage,"Application, originator, mortgage broker",Wells Fargo,Closed with explanation,1,0,1,0
1177967,Credit reporting,Unable to get credit report/credit score,Experian,Closed with non-monetary relief,1,0,1,6
1177968,Debt collection,False statements or representation,Encore Capital Group,Closed with explanation,1,0,1,0
1177969,Mortgage,"Loan servicing, payments, escrow account","Green Tree Servicing, LLC",Closed with explanation,1,0,1,0
1177970,Mortgage,"Application, originator, mortgage broker",LoanDepot,Closed with explanation,1,1,1,0
1177971,Credit reporting,Incorrect information on credit report,TransUnion,Closed with explanation,1,0,1,0
1177972,Credit reporting,Unable to get credit report/credit score,TransUnion,Closed with non-monetary relief,1,0,1,6
1177974,Debt collection,Cont'd attempts collect debt not owed,"PMAB, LLC",Closed with explanation,1,0,1,6
1177975,Consumer loan,Charged fees or interest I didn't expect,"Westlake Services, LLC",Closed with explanation,1,0,1,6
1177976,Debt collection,Cont'd attempts collect debt not owed,Encore Capital Group,Closed with explanation,1,1,1,0
1177977,Debt collection,Disclosure verification of debt,Patient Accounting Service Center,Closed with explanation,1,1,1,0
