,Complaint ID,Day_received,Response_time,Product_num,State_num,Timely_response_bin,Company_response_num,Consumer_disputed_num,Issue_num,Company_num
0,1177839,1,0,3,7,1,2,0,1,1940
1,1177844,1,0,9,44,1,1,1,4,112
2,1177846,1,0,3,40,1,2,0,4,1525
3,1177928,1,0,6,5,1,1,0,3,133
4,1177930,1,0,2,8,1,1,1,4,1430
5,1177932,1,0,4,13,1,1,0,4,1518
6,1177933,1,0,5,13,1,4,0,4,217
7,1177937,1,0,4,13,1,4,2,4,567
8,1177938,1,0,1,9,0,6,2,2,1
9,1177940,1,6,4,3,1,1,0,4,481
10,1177941,1,0,5,25,1,1,0,4,90
11,1177943,1,6,5,40,1,4,2,4,112
12,1177944,1,6,1,58,1,1,0,4,2
13,1177946,1,0,2,14,1,1,0,4,749
14,1177947,1,0,5,40,1,4,2,4,107
15,1177948,1,0,3,40,1,2,2,1,1940
16,1177949,1,6,1,28,1,1,1,2,30
17,1177950,1,4,1,13,1,1,0,2,11
18,1177951,1,6,1,44,1,1,0,2,2
19,1177952,1,0,3,51,1,2,2,1,1940
20,1177955,1,0,1,13,1,2,0,4,481
21,1177961,1,0,1,13,1,2,0,2,1
22,1177963,1,0,3,40,1,1,2,1,1940
23,1177964,1,6,4,30,0,1,2,4,19
24,1177965,1,0,2,42,1,1,2,4,1430
25,1177967,1,6,3,24,1,2,0,1,1940
26,1177968,1,0,1,44,1,1,0,4,392
27,1177969,1,0,2,19,1,1,0,4,399
28,1177970,1,0,2,38,1,1,1,4,9
29,1177971,1,0,3,41,1,1,0,1,1525
30,1177972,1,6,3,40,1,2,0,1,1525
31,1177974,1,6,1,48,1,1,2,2,9
32,1177975,1,6,6,14,1,1,0,4,19
33,1177976,1,0,1,40,1,1,1,2,392
34,1177977,1,0,1,39,1,1,1,2,3
35,1177979,1,0,5,25,1,5,0,4,93
36,1177980,1,0,1,13,1,1,0,4,113
37,1177981,1,0,1,8,1,1,2,2,97
38,1177982,1,0,1,8,1,1,0,2,1272
39,1177983,1,0,1,25,1,2,0,4,1016
40,1177986,1,0,5,40,0,1,2,0,1272
41,1177988,1,6,5,3,1,1,1,4,38
42,1177989,1,0,5,41,1,4,1,4,1016
43,1177990,1,0,1,24,1,1,0,2,83
44,1177992,1,0,5,40,0,1,2,0,1272
45,1177993,1,0,3,42,1,2,0,1,1940
46,1177995,1,0,7,40,1,1,0,5,1430
47,1177996,1,6,7,40,1,1,0,5,16
48,1177998,1,0,4,40,1,4,0,4,270
49,1177999,1,0,2,13,1,1,0,4,749
50,1178002,1,0,4,44,1,4,0,4,217
